SEMANA_DEL_AÑO,-1,0,1,2,3,4,5,6,7,8,9,10
"(2021, 12)",0.0,2.0,14.0,8.0,53.0,215.0,541.0,920.0,1283.0,1114.0,693.0,147.0
"(2021, 13)",0.0,3.0,10.0,15.0,77.0,231.0,531.0,1014.0,1309.0,1133.0,711.0,165.0
"(2021, 14)",0.0,4.0,8.0,12.0,55.0,246.0,570.0,1064.0,1404.0,1240.0,783.0,165.0
"(2021, 15)",1.0,2.0,10.0,15.0,72.0,253.0,577.0,1044.0,1440.0,1298.0,756.0,154.0
"(2021, 16)",0.0,3.0,2.0,17.0,58.0,217.0,573.0,1085.0,1425.0,1363.0,731.0,176.0
"(2021, 17)",0.0,6.0,9.0,10.0,59.0,223.0,481.0,943.0,1286.0,1234.0,762.0,157.0
"(2021, 18)",0.0,5.0,13.0,12.0,47.0,171.0,484.0,803.0,1264.0,1071.0,634.0,152.0
"(2021, 19)",1.0,6.0,9.0,9.0,48.0,162.0,408.0,689.0,1001.0,1022.0,533.0,124.0
"(2021, 20)",0.0,1.0,6.0,5.0,37.0,122.0,337.0,655.0,902.0,798.0,435.0,101.0
"(2021, 21)",0.0,2.0,6.0,11.0,26.0,113.0,260.0,589.0,826.0,726.0,387.0,73.0
"(2021, 22)",0.0,4.0,4.0,2.0,27.0,93.0,245.0,479.0,709.0,569.0,287.0,74.0
"(2021, 23)",0.0,0.0,0.0,1.0,3.0,32.0,74.0,181.0,261.0,194.0,84.0,17.0
